User Id,Name_x,Phone,Email,Status_user,Subscription Id,Subscription Type,Product Id,Status_sub,Start Date,Last Billed Date,Last Renewed Date,Terminated Date,Grace Time,Name_y,Price,Auto Renewal Allowed,Status,tenure_days,days_since_last_billing,days_since_last_renewal,subscription_id,billing_count,avg_billing_amount,total_billing,billing_amount_std,failed_payments,action_count,last_action_date,days_since_last_action,churned
1,User1,1234567801,user1@example.com,active,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
2,User2,1234567802,user2@example.com,inactive,76.0,monthly,93.0,PAUSED,2024-03-04 00:00:00,2024-07-19 00:00:00,2024-10-03 00:00:00,0.0,5.0,Plan93,43.4,No,Active,557.0,420.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
2,User2,1234567802,user2@example.com,inactive,88.0,monthly,70.0,active,2024-01-17 00:00:00,2024-11-07 00:00:00,2024-05-11 00:00:00,0.0,5.0,Plan70,76.37,Yes,Active,604.0,309.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-02-05 00:00:00,585.0,1
2,User2,1234567802,user2@example.com,inactive,94.0,monthly,65.0,PAUSED,2024-04-26 00:00:00,2024-01-14 00:00:00,2024-03-21 00:00:00,0.0,5.0,Plan65,29.87,Yes,Active,504.0,607.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2024-06-15 00:00:00,454.0,1
3,User3,1234567803,user3@example.com,inactive,5.0,monthly,52.0,active,2024-07-23 00:00:00,2024-04-05 00:00:00,2024-10-08 00:00:00,0.0,5.0,Plan52,61.25,Yes,Active,416.0,525.0,339.0,5.0,3.0,279.79,839.36,184.31,0.0,0.0,0,0.0,1
3,User3,1234567803,user3@example.com,inactive,22.0,monthly,35.0,active,2024-03-14 00:00:00,2024-03-29 00:00:00,2024-06-12 00:00:00,0.0,5.0,Plan35,95.92,No,Active,547.0,532.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2024-11-22 00:00:00,294.0,1
4,User4,1234567804,user4@example.com,active,34.0,monthly,94.0,PAUSED,2024-01-26 00:00:00,2023-12-13 00:00:00,2023-12-03 00:00:00,0.0,5.0,Plan94,56.62,No,Active,595.0,639.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2024-11-01 00:00:00,315.0,0
5,User5,1234567805,user5@example.com,inactive,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
6,User6,1234567806,user6@example.com,active,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
7,User7,1234567807,user7@example.com,inactive,43.0,yearly,91.0,PAUSED,2024-02-12 00:00:00,2024-02-29 00:00:00,2024-02-26 00:00:00,0.0,5.0,Plan91,43.65,No,Active,578.0,561.0,564.0,43.0,1.0,228.58,228.58,0.0,1.0,1.0,2024-10-30 00:00:00,317.0,1
8,User8,1234567808,user8@example.com,inactive,47.0,yearly,6.0,PAUSED,2023-12-25 00:00:00,2024-10-01 00:00:00,2024-11-18 00:00:00,0.0,5.0,Plan6,95.36,No,Active,627.0,346.0,298.0,47.0,2.0,321.66,643.32,111.06,1.0,0.0,0,0.0,1
9,User9,1234567809,user9@example.com,active,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
10,User10,1234567810,user10@example.com,active,11.0,yearly,32.0,PAUSED,2023-12-16 00:00:00,2024-10-13 00:00:00,2024-03-23 00:00:00,0.0,5.0,Plan32,41.16,No,Active,636.0,334.0,538.0,11.0,4.0,270.93,1083.72,151.3,2.0,0.0,0,0.0,0
10,User10,1234567810,user10@example.com,active,25.0,monthly,34.0,PAUSED,2024-10-30 00:00:00,2024-05-27 00:00:00,2024-07-03 00:00:00,0.0,5.0,Plan34,29.63,Yes,Active,317.0,473.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-11-22 00:00:00,294.0,0
10,User10,1234567810,user10@example.com,active,86.0,monthly,62.0,PAUSED,2024-04-24 00:00:00,2024-08-04 00:00:00,2024-11-14 00:00:00,0.0,5.0,Plan62,92.8,Yes,Active,506.0,404.0,302.0,86.0,1.0,493.15,493.15,0.0,1.0,0.0,0,0.0,0
10,User10,1234567810,user10@example.com,active,89.0,monthly,75.0,PAUSED,2023-12-23 00:00:00,2023-12-22 00:00:00,2024-06-12 00:00:00,0.0,5.0,Plan75,69.17,Yes,Active,629.0,630.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
10,User10,1234567810,user10@example.com,active,93.0,yearly,52.0,PAUSED,2024-06-20 00:00:00,2024-07-12 00:00:00,2023-12-15 00:00:00,0.0,5.0,Plan52,61.25,Yes,Active,449.0,427.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2024-11-08 00:00:00,308.0,0
11,User11,1234567811,user11@example.com,active,54.0,monthly,20.0,PAUSED,2024-02-19 00:00:00,2024-11-10 00:00:00,2024-11-29 00:00:00,0.0,5.0,Plan20,85.62,Yes,Active,571.0,306.0,287.0,54.0,1.0,308.56,308.56,0.0,0.0,1.0,2024-09-23 00:00:00,354.0,0
12,User12,1234567812,user12@example.com,active,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
